ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1234825,280,8,193,101,149,48,0,200,184,254
1234865,280,8,228,104,149,48,0,200,216,254
1234875,280,8,5,105,149,48,0,200,248,254
1234915,280,8,233,109,149,48,0,200,216,254
1234935,280,8,44,111,149,48,0,200,24,255
1234975,280,8,191,99,149,48,0,200,184,254
1235015,280,8,195,103,149,48,0,200,184,254
1235025,280,8,149,105,149,48,0,200,136,254
1235045,280,8,151,107,149,48,0,200,136,254
1235065,280,8,168,108,149,48,0,200,152,254
1235065,280,8,169,109,149,48,0,200,152,254
1235115,2047,8,7,38,0,133,32,68,35,112
1235115,1021,8,1,0,6,0,0,8,18,128
1235135,280,8,127,99,149,48,0,200,120,254
1235155,280,8,81,101,149,48,0,200,72,254
1235175,280,8,115,103,149,48,0,200,104,254
1235205,2047,8,8,128,68,0,144,98,20,48
1235205,280,8,87,107,149,48,0,200,72,254
1235225,280,8,89,109,149,48,0,200,72,254
1235235,280,8,90,110,149,48,0,200,72,254
1235275,280,8,77,97,149,48,0,200,72,254
1235295,280,8,63,99,149,48,0,200,56,254
1235325,280,8,67,103,149,48,0,200,56,254
1235365,280,8,38,106,149,48,0,200,24,254
1235365,280,8,23,107,149,48,0,200,8,254
1235395,2047,8,1,165,78,67,67,165,84,1
1235405,280,8,90,110,149,48,0,200,72,254
1235415,280,8,59,111,149,48,0,200,40,254
1235435,280,8,61,97,149,48,0,200,56,254
1235455,280,8,31,99,149,48,0,200,24,254
1235475,280,8,65,101,149,48,0,200,56,254
1235495,280,8,19,103,149,48,0,200,8,254
1235505,2047,8,2,71,86,109,142,81,207,39
1235505,280,8,21,105,149,48,0,200,8,254
1235525,280,8,246,107,149,48,0,200,232,253
1235545,280,8,199,108,149,48,0,200,184,253
1235615,1021,8,1,0,6,0,0,8,18,128
1235635,280,8,128,101,149,48,0,200,120,253
1235655,1021,8,2,0,0,0,0,0,0,144
1235655,280,8,130,103,149,48,0,200,120,253
1235665,280,8,180,105,149,48,0,200,168,253
1235685,280,8,87,107,149,48,0,200,72,254
1235695,2047,8,4,153,22,28,106,170,188,16
1235705,280,8,106,109,149,112,0,200,24,255
1235715,280,8,203,110,149,112,0,200,120,255
1235725,280,8,44,111,149,112,0,200,216,255
1235735,280,8,94,96,149,112,0,200,24,0
1235745,280,8,127,97,149,112,0,200,56,0
1235755,280,8,160,98,149,112,0,200,88,0
1235755,280,8,193,99,149,112,0,200,120,0
1235785,280,8,51,101,149,112,0,200,232,0
1235805,2047,8,5,18,32,161,64,4,128,82
1235805,280,8,102,103,149,112,0,200,24,1
1235815,280,8,103,104,149,112,0,200,24,1
1235815,280,8,120,105,149,112,0,200,40,1
1235825,280,8,137,106,149,112,0,200,56,1
1235835,280,8,154,107,149,112,0,200,72,1
1235855,280,8,155,108,149,112,0,200,72,1
1235865,280,8,140,109,149,112,0,200,56,1
1235895,280,8,206,111,149,112,0,200,120,1
1235905,2047,8,6,88,55,91,7,176,204,200
1235905,280,8,144,97,149,112,0,200,72,1
1235925,280,8,65,99,149,112,0,200,248,0
1235945,280,8,18,100,149,112,0,200,200,0
1235975,280,8,52,103,149,112,0,200,232,255
1236005,2047,8,7,38,0,133,32,68,35,112
1236015,280,8,8,107,85,48,0,200,56,255
1236025,280,8,10,109,85,48,0,200,56,255
1236035,280,8,11,110,85,48,0,200,56,255
